epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3925,3.71177,2.49517,3.82833,0,0,0,0,4.28044,3.97928,4.26823,0.000657407,0.000657407,0.000657407
2,19.7491,2.66836,1.60635,2.55969,0.20966,0.11114,0.08943,0.01987,4.09683,2.39508,3.36255,0.00131097,0.00131097,0.00131097
3,27.7367,2.26121,1.37652,2.07342,0.65852,0.56036,0.62161,0.2233,2.33106,1.33131,2.12197,0.00195132,0.00195132,0.00195132
4,35.668,1.97059,1.18509,1.84623,0.80263,0.65751,0.78452,0.36843,1.88782,1.18306,1.84415,0.0019406,0.0019406,0.0019406
5,43.6849,1.80299,1.0746,1.70614,0.84896,0.75,0.85659,0.46626,1.67157,0.9896,1.63291,0.0019208,0.0019208,0.0019208
6,51.7876,1.67603,0.98248,1.60854,0.8923,0.76192,0.8742,0.5085,1.52842,0.90463,1.55382,0.001901,0.001901,0.001901
7,59.8626,1.58366,0.91585,1.53131,0.90586,0.82617,0.91001,0.5515,1.38245,0.80402,1.41789,0.0018812,0.0018812,0.0018812
8,67.9307,1.50575,0.86539,1.48287,0.9299,0.8351,0.92125,0.55447,1.38933,0.76308,1.41826,0.0018614,0.0018614,0.0018614
9,76.6592,1.44592,0.82026,1.43946,0.93049,0.85312,0.92998,0.57158,1.36774,0.74883,1.40904,0.0018416,0.0018416,0.0018416
10,85.2168,1.38822,0.78292,1.39405,0.9338,0.86969,0.94413,0.6162,1.2185,0.69847,1.30756,0.0018218,0.0018218,0.0018218
11,93.2442,1.33201,0.75855,1.36628,0.93406,0.87513,0.95004,0.62828,1.19188,0.69308,1.28579,0.001802,0.001802,0.001802
12,101.322,1.29763,0.72481,1.32682,0.94202,0.88497,0.95482,0.66309,1.09483,0.6253,1.21593,0.0017822,0.0017822,0.0017822
13,109.167,1.26689,0.70509,1.30363,0.95248,0.88446,0.95884,0.6431,1.1348,0.63656,1.24338,0.0017624,0.0017624,0.0017624
14,117.016,1.23033,0.68647,1.2898,0.95568,0.88627,0.96114,0.67329,1.07273,0.58875,1.20117,0.0017426,0.0017426,0.0017426
15,125.056,1.22586,0.67438,1.27333,0.95604,0.89404,0.96046,0.65123,1.13694,0.59727,1.22269,0.0017228,0.0017228,0.0017228
16,133.088,1.20638,0.66503,1.26137,0.95523,0.90415,0.96658,0.69147,1.02068,0.56522,1.1645,0.001703,0.001703,0.001703
