epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7691,3.71177,2.49517,3.82833,0,0,0,0,4.28044,3.97928,4.26823,0.000657407,0.000657407,0.000657407
2,20.807,2.66914,1.60496,2.55973,0.32185,0.11788,0.1111,0.03055,4.00233,2.2262,3.20622,0.00129786,0.00129786,0.00129786
3,29.1373,2.26788,1.37636,2.07297,0.7126,0.60233,0.67953,0.27021,2.21395,1.36198,2.0607,0.00191191,0.00191191,0.00191191
4,37.0399,1.96743,1.18497,1.84225,0.74934,0.69404,0.78494,0.39664,1.80446,1.14099,1.76422,0.0018812,0.0018812,0.0018812
5,45.117,1.80447,1.07329,1.70532,0.86194,0.75181,0.85482,0.46138,1.63421,0.97366,1.62766,0.0018416,0.0018416,0.0018416
6,52.7629,1.66468,0.96748,1.59908,0.88719,0.76425,0.87848,0.50652,1.48787,0.93223,1.52266,0.001802,0.001802,0.001802
7,60.355,1.56522,0.90399,1.51939,0.90576,0.82539,0.91703,0.55799,1.38104,0.8014,1.42695,0.0017624,0.0017624,0.0017624
8,68.9806,1.47787,0.84983,1.46449,0.9193,0.82383,0.92296,0.54616,1.3838,0.78847,1.42004,0.0017228,0.0017228,0.0017228
9,76.2056,1.43526,0.81578,1.43369,0.91747,0.85078,0.93571,0.60411,1.24823,0.7268,1.34411,0.0016832,0.0016832,0.0016832
10,83.3139,1.37455,0.77773,1.38725,0.9344,0.85612,0.94004,0.6058,1.26288,0.70527,1.34092,0.0016436,0.0016436,0.0016436
11,90.6915,1.33043,0.75583,1.36464,0.92684,0.85855,0.94098,0.59593,1.28954,0.71597,1.34966,0.001604,0.001604,0.001604
12,98.1151,1.29313,0.72288,1.32689,0.95028,0.88142,0.95326,0.66102,1.07952,0.62003,1.23003,0.0015644,0.0015644,0.0015644
13,105.367,1.25372,0.70175,1.30282,0.95684,0.8899,0.95814,0.66587,1.09467,0.61162,1.22552,0.0015248,0.0015248,0.0015248
14,112.394,1.23822,0.69456,1.2962,0.94293,0.89352,0.95747,0.66668,1.08168,0.60962,1.21074,0.0014852,0.0014852,0.0014852
15,119.373,1.22289,0.67713,1.27435,0.95274,0.90311,0.96437,0.65787,1.12119,0.61095,1.22526,0.0014456,0.0014456,0.0014456
16,126.415,1.18833,0.66379,1.25915,0.96363,0.89171,0.96336,0.68118,1.03693,0.56585,1.17719,0.001406,0.001406,0.001406
17,133.521,1.19476,0.66054,1.26196,0.9561,0.89611,0.96458,0.67725,1.03621,0.58049,1.16658,0.0013664,0.0013664,0.0013664
18,140.473,1.14092,0.63885,1.22987,0.96319,0.90648,0.96796,0.69056,1.01989,0.55392,1.16847,0.0013268,0.0013268,0.0013268
19,147.353,1.12464,0.62552,1.22562,0.96175,0.90104,0.96872,0.6909,1.02454,0.54975,1.15595,0.0012872,0.0012872,0.0012872
20,155.076,1.1122,0.61434,1.21037,0.96247,0.91021,0.96682,0.69782,1.00043,0.53995,1.14745,0.0012476,0.0012476,0.0012476
21,162.792,1.10063,0.60728,1.20251,0.97151,0.91004,0.97256,0.71682,0.94518,0.51726,1.11854,0.001208,0.001208,0.001208
22,169.962,1.08347,0.60109,1.19627,0.96631,0.9171,0.97079,0.72172,0.94314,0.51675,1.11437,0.0011684,0.0011684,0.0011684
23,177.184,1.07554,0.59254,1.18897,0.9669,0.9234,0.97308,0.72281,0.94013,0.50651,1.11254,0.0011288,0.0011288,0.0011288
24,184.169,1.05417,0.58281,1.18099,0.9599,0.91792,0.97208,0.73294,0.9045,0.49633,1.09697,0.0010892,0.0010892,0.0010892
25,191.063,1.05013,0.57568,1.16997,0.97358,0.92332,0.97482,0.73045,0.90898,0.48821,1.09062,0.0010496,0.0010496,0.0010496
26,197.923,1.035,0.56494,1.1616,0.96946,0.92914,0.97576,0.74729,0.88506,0.47777,1.07892,0.00101,0.00101,0.00101
27,204.745,1.03245,0.56086,1.16019,0.96565,0.93446,0.9764,0.73896,0.90073,0.48326,1.08468,0.0009704,0.0009704,0.0009704
28,211.611,1.00355,0.55049,1.14757,0.96861,0.93528,0.97694,0.73998,0.8938,0.47575,1.07833,0.0009308,0.0009308,0.0009308
29,218.531,1.00264,0.55066,1.14387,0.95865,0.937,0.97483,0.73569,0.92096,0.4875,1.09851,0.0008912,0.0008912,0.0008912
30,226.145,0.9866,0.53885,1.14054,0.96823,0.94119,0.97679,0.74445,0.87606,0.47139,1.07189,0.0008516,0.0008516,0.0008516
31,234.086,0.98206,0.53654,1.1296,0.96445,0.94352,0.97759,0.74882,0.86498,0.46269,1.06916,0.000812,0.000812,0.000812
32,242.262,0.97669,0.53297,1.12777,0.97378,0.94309,0.97915,0.75971,0.84301,0.45335,1.05216,0.0007724,0.0007724,0.0007724
33,250.991,0.9663,0.53073,1.12294,0.97159,0.93906,0.97926,0.75659,0.85336,0.45496,1.05932,0.0007328,0.0007328,0.0007328
34,259.28,0.95988,0.5243,1.11749,0.96887,0.94845,0.9801,0.76581,0.83604,0.44352,1.05054,0.0006932,0.0006932,0.0006932
35,267.296,0.95359,0.52229,1.11521,0.96946,0.94583,0.97918,0.7624,0.83483,0.44446,1.04511,0.0006536,0.0006536,0.0006536
36,275.251,0.94438,0.5176,1.11191,0.97552,0.95052,0.97999,0.76995,0.81629,0.43616,1.03832,0.000614,0.000614,0.000614
37,283.433,0.9443,0.51618,1.11201,0.97226,0.95518,0.98027,0.77153,0.81662,0.43479,1.03793,0.0005744,0.0005744,0.0005744
38,291.617,0.9262,0.50939,1.10338,0.97249,0.9525,0.97971,0.7735,0.81305,0.43145,1.03996,0.0005348,0.0005348,0.0005348
39,299.877,0.91707,0.50343,1.09829,0.97639,0.95352,0.98268,0.77582,0.80496,0.42999,1.03343,0.0004952,0.0004952,0.0004952
40,308.115,0.91334,0.49902,1.09367,0.97789,0.95097,0.98068,0.77556,0.80465,0.42619,1.03425,0.0004556,0.0004556,0.0004556
