epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9118,3.76119,2.42495,3.83258,0.01214,0.11891,0.0068,0.00203,3.94204,3.22928,4.09124,0.000648148,0.000648148,0.000648148
2,47.6374,2.64554,1.55267,2.83403,0.02161,0.21166,0.01542,0.00441,3.90167,3.29605,4.06233,0.00128878,0.00128878,0.00128878
3,61.5193,2.26149,1.31097,2.30616,0.04336,0.07746,0.02911,0.00652,4.25056,2.78812,4.16192,0.00190301,0.00190301,0.00190301
4,71.9199,1.99896,1.13243,2.05314,0.50961,0.45829,0.36029,0.13071,2.61595,1.75457,2.70166,0.0018812,0.0018812,0.0018812
5,82.329,1.80683,1.00191,1.87074,0.84382,0.73765,0.79417,0.34324,2.10088,0.95065,2.06348,0.0018416,0.0018416,0.0018416
6,120.773,1.65311,0.89484,1.7344,0.90561,0.81523,0.89515,0.51817,1.51579,0.80314,1.68667,0.001802,0.001802,0.001802
7,152.857,1.50872,0.80822,1.61498,0.92935,0.82073,0.90647,0.54688,1.45489,0.79365,1.66072,0.0017624,0.0017624,0.0017624
8,172.131,1.43614,0.76017,1.55069,0.93049,0.87047,0.93138,0.60222,1.27419,0.70555,1.52327,0.0017228,0.0017228,0.0017228
9,182.657,1.36639,0.72028,1.48948,0.93776,0.88601,0.93474,0.5999,1.28551,0.66364,1.47506,0.0016832,0.0016832,0.0016832
10,192.883,1.32686,0.69354,1.44839,0.94352,0.87902,0.94573,0.61986,1.25893,0.63923,1.46887,0.0016436,0.0016436,0.0016436
11,205.202,1.24217,0.66136,1.39793,0.95993,0.89326,0.96007,0.65468,1.1269,0.61033,1.36756,0.001604,0.001604,0.001604
12,215.596,1.19947,0.64056,1.35472,0.96457,0.90933,0.96989,0.68784,1.06419,0.56412,1.31701,0.0015644,0.0015644,0.0015644
13,225.924,1.17934,0.6208,1.33338,0.96414,0.91234,0.96597,0.6908,1.03147,0.53671,1.29465,0.0015248,0.0015248,0.0015248
14,270.526,1.1212,0.59496,1.30029,0.95115,0.91969,0.97012,0.69655,1.02969,0.52638,1.2862,0.0014852,0.0014852,0.0014852
15,332.619,1.13246,0.58935,1.29219,0.95884,0.91735,0.96661,0.69525,1.0373,0.53063,1.28582,0.0014456,0.0014456,0.0014456
16,365.781,1.10384,0.58417,1.28017,0.95519,0.91666,0.96736,0.70196,1.00738,0.51333,1.25284,0.001406,0.001406,0.001406
17,378.508,1.067,0.56396,1.25894,0.96711,0.92461,0.97077,0.7089,0.97821,0.50224,1.23185,0.0013664,0.0013664,0.0013664
18,388.877,1.06037,0.55982,1.25702,0.96668,0.93679,0.96923,0.73047,0.94019,0.4877,1.22199,0.0013268,0.0013268,0.0013268
19,399.669,1.04311,0.54662,1.23667,0.97134,0.93964,0.97718,0.73087,0.92403,0.48653,1.20443,0.0012872,0.0012872,0.0012872
