epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.46,4.93713,5.0743,3.71827,0.00077,0.00747,0.0004,8e-05,4.34895,4.11123,3.3895,0.0670101,0.000333231,0.000333231
2,2030.96,4.38612,4.34393,3.14732,0.00352,0.04033,0.00219,0.00049,4.10528,4.33334,3.23725,0.0339837,0.000640169,0.000640169
3,3037.7,4.0249,3.74265,2.90272,0.04727,0.06489,0.02756,0.00676,3.40071,2.69669,2.83322,0.000930918,0.000920706,0.000920706
4,4044.48,3.12646,2.85185,2.38462,0.21312,0.17178,0.15072,0.04596,2.65423,2.03073,2.19306,0.0008812,0.0008812,0.0008812
5,5049.75,2.67383,2.23266,2.00434,0.55746,0.2302,0.23181,0.08,2.37382,1.63571,1.93153,0.0008416,0.0008416,0.0008416
6,6053.95,2.5064,1.92853,1.84179,0.44183,0.30009,0.30426,0.10755,2.26418,1.4976,1.8277,0.000802,0.000802,0.000802
7,7058.82,2.41778,1.79177,1.78552,0.4811,0.35315,0.3444,0.12092,2.20797,1.46096,1.77371,0.0007624,0.0007624,0.0007624
8,8063.82,2.355,1.66504,1.73319,0.47164,0.37405,0.3806,0.13716,2.18916,1.39575,1.75593,0.0007228,0.0007228,0.0007228
9,9069.1,2.31834,1.60541,1.71186,0.49445,0.41012,0.41673,0.15113,2.15176,1.34452,1.72741,0.0006832,0.0006832,0.0006832
10,10073.7,2.28802,1.55113,1.68798,0.53005,0.44905,0.45083,0.16224,2.12807,1.33649,1.70739,0.0006436,0.0006436,0.0006436
11,11077.6,2.25482,1.50467,1.66317,0.55346,0.47309,0.47761,0.17421,2.10899,1.30716,1.69247,0.000604,0.000604,0.000604
12,12082.3,2.23949,1.48766,1.65367,0.55066,0.487,0.49279,0.17998,2.1016,1.28874,1.68435,0.0005644,0.0005644,0.0005644
13,13086.6,2.21198,1.43868,1.63809,0.57156,0.49305,0.50058,0.18095,2.09816,1.27777,1.68012,0.0005248,0.0005248,0.0005248
14,14093.1,2.20396,1.42215,1.61873,0.58291,0.50684,0.51381,0.18772,2.08385,1.26055,1.6705,0.0004852,0.0004852,0.0004852
15,15097.9,2.18667,1.40301,1.6178,0.57485,0.51936,0.52472,0.18946,2.09136,1.26022,1.67004,0.0004456,0.0004456,0.0004456
16,16061,2.18625,1.48588,1.63548,0.59022,0.50996,0.52353,0.18948,2.08723,1.26766,1.66513,0.000406,0.000406,0.000406
17,17023.3,2.1673,1.45082,1.61391,0.58057,0.50972,0.52519,0.1887,2.09035,1.26009,1.66599,0.0003664,0.0003664,0.0003664
18,17986.9,2.1487,1.41925,1.60931,0.60365,0.52418,0.53741,0.19228,2.07538,1.2492,1.65798,0.0003268,0.0003268,0.0003268
19,18949.6,2.13864,1.39675,1.60426,0.57376,0.54982,0.53856,0.19216,2.07257,1.23859,1.65359,0.0002872,0.0002872,0.0002872
20,19914.5,2.13206,1.38712,1.59782,0.58979,0.5355,0.52814,0.18883,2.08287,1.23945,1.65972,0.0002476,0.0002476,0.0002476
21,20877.2,2.12069,1.37808,1.59272,0.57674,0.55142,0.53464,0.19127,2.07055,1.22882,1.65318,0.000208,0.000208,0.000208
22,21839.6,2.10941,1.35703,1.58191,0.58963,0.55831,0.55382,0.19779,2.07354,1.22619,1.65448,0.0001684,0.0001684,0.0001684
23,22802.8,2.10298,1.34828,1.58491,0.60052,0.55434,0.55661,0.19964,2.06801,1.22035,1.65119,0.0001288,0.0001288,0.0001288
24,23766.7,2.09666,1.3471,1.58304,0.6071,0.55642,0.56514,0.20038,2.06636,1.22129,1.64842,8.92e-05,8.92e-05,8.92e-05
25,24729,2.09388,1.33901,1.58132,0.61434,0.55397,0.5574,0.20071,2.06507,1.21595,1.64944,4.96e-05,4.96e-05,4.96e-05
