epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.588,6.19993,10.99,4.35734,0,0,0,0,6.38168,4.45274,4.00863,0.070625,0.00326389,0.00326389
2,39.6995,5.66716,5.51854,3.87081,0,0,0,0,6.36939,4.58443,4.0255,0.0405597,0.00653191,0.00653191
3,49.1159,4.49183,3.28932,2.46861,0.01642,0.01399,0.00946,0.00203,4.44047,3.78779,2.35624,0.0104284,0.00973393,0.00973393
4,58.6513,4.0469,2.82516,1.837,0.51101,0.01,0.00321,0.0008,4.41556,9.99641,2.65097,0.009703,0.009703,0.009703
5,68.1485,3.67129,2.42494,1.59047,0.29922,0.05991,0.02983,0.00671,3.49276,2.20463,1.60327,0.009604,0.009604,0.009604
6,77.6347,3.39511,2.2773,1.44599,0.30746,0.04543,0.01513,0.00334,3.72027,4.82759,1.57958,0.009505,0.009505,0.009505
7,87.1592,3.2091,2.10388,1.3693,0.80582,0.05797,0.1026,0.03422,3.56021,5.94315,1.59029,0.009406,0.009406,0.009406
8,96.8153,3.05476,1.96878,1.3421,0.82709,0.0722,0.06889,0.01754,3.22498,5.14362,1.40125,0.009307,0.009307,0.009307
9,106.18,2.90147,1.83123,1.28088,0.68359,0.1264,0.12123,0.03484,2.82414,2.4809,1.27039,0.009208,0.009208,0.009208
10,115.288,2.81783,1.70617,1.24933,0.14147,0.1432,0.0906,0.02358,3.16887,1.84902,1.3598,0.009109,0.009109,0.009109
11,124.584,2.74574,1.65183,1.23161,0.47732,0.16338,0.16222,0.05189,2.53938,1.88262,1.21912,0.00901,0.00901,0.00901
12,134.092,2.73935,1.67186,1.23112,0.47744,0.15674,0.14595,0.04122,2.74438,1.64375,1.23277,0.008911,0.008911,0.008911
13,143.389,2.66124,1.56921,1.20281,0.5136,0.19505,0.1839,0.05848,2.4598,1.41245,1.19271,0.008812,0.008812,0.008812
14,152.7,2.61462,1.54687,1.1869,0.54529,0.19371,0.17944,0.055,2.50386,1.39427,1.19343,0.008713,0.008713,0.008713
15,162.05,2.57049,1.46335,1.17687,0.44106,0.18003,0.16808,0.04759,2.74129,1.45885,1.23104,0.008614,0.008614,0.008614
16,171.526,2.51136,1.44202,1.17219,0.28196,0.21555,0.21007,0.06823,2.3969,1.32406,1.16912,0.008515,0.008515,0.008515
17,180.998,2.51106,1.4206,1.15885,0.32645,0.20169,0.19319,0.0611,2.48483,1.36984,1.18207,0.008416,0.008416,0.008416
