epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.406,5.12812,5.59785,3.13898,0.29041,0.04645,0.01921,0.00384,3.71501,2.53417,1.75129,0.0700735,0.00332516,0.00332516
2,920.902,3.12784,1.98046,1.38431,0.39815,0.15738,0.14003,0.03933,2.80545,1.6569,1.29582,0.0398538,0.00643877,0.00643877
3,1374.36,2.68037,1.56838,1.20319,0.34687,0.24977,0.2253,0.06627,2.62424,1.34983,1.23145,0.00941407,0.00933237,0.00933237
4,1829.02,2.49442,1.34927,1.13834,0.52402,0.33688,0.33303,0.10905,2.24616,1.16145,1.12388,0.00901,0.00901,0.00901
5,2278.83,2.35834,1.20836,1.10452,0.51916,0.41246,0.39234,0.13163,2.16904,1.09154,1.1008,0.00868,0.00868,0.00868
6,2725.48,2.28142,1.11878,1.07324,0.56092,0.41233,0.42229,0.13846,2.22727,1.06854,1.10445,0.00835,0.00835,0.00835
7,3175.01,2.21153,1.0578,1.06241,0.59114,0.45122,0.45789,0.14919,2.16028,1.01617,1.09526,0.00802,0.00802,0.00802
8,3628.28,2.17094,1.02097,1.04617,0.60524,0.44747,0.45925,0.15042,2.15109,1.00243,1.09026,0.00769,0.00769,0.00769
9,4075.02,2.12794,0.98753,1.04206,0.65983,0.47323,0.49785,0.17035,2.0799,0.97858,1.07585,0.00736,0.00736,0.00736
10,4526.63,2.08982,0.95674,1.02996,0.60191,0.45581,0.45738,0.14382,2.18836,0.99189,1.09635,0.00703,0.00703,0.00703
11,4972.62,2.05119,0.93226,1.02488,0.67683,0.49025,0.51794,0.17111,2.1022,0.94697,1.07971,0.0067,0.0067,0.0067
12,5422.17,2.01906,0.91293,1.01706,0.64083,0.48803,0.49571,0.16665,2.11474,0.95293,1.0802,0.00637,0.00637,0.00637
13,5870.7,1.98928,0.89317,1.01148,0.64591,0.50349,0.52256,0.17309,2.10199,0.91561,1.08072,0.00604,0.00604,0.00604
14,6320.13,1.9685,0.87813,1.0015,0.66308,0.51957,0.53397,0.18048,2.11487,0.91918,1.08589,0.00571,0.00571,0.00571
15,6771.52,1.94513,0.86601,0.99581,0.66792,0.51678,0.53962,0.18475,2.0883,0.90997,1.07818,0.00538,0.00538,0.00538
16,7225.66,1.91182,0.84785,0.98989,0.66171,0.54202,0.55102,0.19369,2.07711,0.89994,1.08254,0.00505,0.00505,0.00505
17,7678.77,1.88144,0.83437,0.9836,0.63006,0.54079,0.53582,0.18606,2.1131,0.89189,1.09093,0.00472,0.00472,0.00472
18,8125.01,1.86237,0.8233,0.97971,0.64508,0.55046,0.5499,0.18319,2.11451,0.90386,1.09155,0.00439,0.00439,0.00439
19,8574.62,1.83954,0.81201,0.97792,0.65766,0.53877,0.54523,0.18588,2.11517,0.90121,1.09172,0.00406,0.00406,0.00406
20,9023.12,1.80737,0.79438,0.96419,0.65729,0.55431,0.55128,0.18775,2.12309,0.89571,1.09654,0.00373,0.00373,0.00373
21,9464.64,1.78154,0.79017,0.97853,0.6692,0.54344,0.54769,0.18428,2.12111,0.90573,1.09875,0.0034,0.0034,0.0034
22,9907.97,1.73876,0.76901,0.97228,0.65695,0.54384,0.5487,0.18986,2.11655,0.89456,1.095,0.00307,0.00307,0.00307
23,10350.2,1.71272,0.75628,0.96151,0.66667,0.55423,0.55503,0.1889,2.10328,0.89112,1.09783,0.00274,0.00274,0.00274
24,10791.8,1.67816,0.74223,0.95835,0.6674,0.55215,0.55064,0.18857,2.12044,0.88978,1.10523,0.00241,0.00241,0.00241
25,11238.5,1.65751,0.73228,0.95096,0.67426,0.54663,0.55239,0.18756,2.12887,0.89786,1.10644,0.00208,0.00208,0.00208
26,11679.8,1.61729,0.7161,0.94401,0.68241,0.54723,0.55469,0.18625,2.14407,0.89265,1.1127,0.00175,0.00175,0.00175
27,12128.2,1.5904,0.70691,0.93785,0.679,0.55616,0.56434,0.19123,2.13786,0.88624,1.11548,0.00142,0.00142,0.00142
28,12572.5,1.56577,0.6955,0.93343,0.68549,0.56293,0.56279,0.19261,2.14803,0.8897,1.12128,0.00109,0.00109,0.00109
29,13022.9,1.55015,0.6908,0.9283,0.6848,0.55954,0.55907,0.19139,2.13772,0.88651,1.1158,0.00076,0.00076,0.00076
30,13468,1.52306,0.6819,0.92473,0.70056,0.56253,0.5651,0.19302,2.13889,0.88436,1.11922,0.00043,0.00043,0.00043
